is.singular,source_db,tree_id,tree_code,tree_genus,tree_species,ht,dbh,longitude,latitude
1,S_NFI_3,269141,11_5_A_1_1_1,Pinus,pinea,18.3,90.1,-6.29637132222858,36.8706808974668
1,S_NFI_3,378782,15_2711_A_1_29_21,Pinus,pinea,18.5,70.3,-8.32701947622768,42.8548997175612
1,S_NFI_3,583248,21_1008_A_1_6_6,Pinus,pinea,18,58.3,-6.64045502051399,37.7160070442012
0,S_NFI_3,585310,21_1509_A_1_11_11,Pinus,pinea,9.3,25.95,-6.66953854831665,37.5094194848455
0,S_NFI_3,585987,21_1661_A_1_16_16,Pinus,pinea,9.2,26.8,-7.21635177559954,37.347595450531
1,S_NFI_3,586242,21_1750_A_1_12_12,Pinus,pinea,18.2,63.15,-7.09085040482959,37.3995658245916
1,S_NFI_3,586238,21_1750_A_1_8_8,Pinus,pinea,19.9,58.4,-7.09071289857,37.3995611104679
1,S_NFI_3,586233,21_1750_A_1_3_3,Pinus,pinea,22.9,68.4,-7.09049636137201,37.3997991406122
1,S_NFI_3,586232,21_1750_A_1_2_2,Pinus,pinea,21.5,61.6,-7.0906448731426,37.3998405191743
1,S_NFI_3,586231,21_1750_A_1_1_1,Pinus,pinea,23.3,71.9,-7.09063266604332,37.399890272734
0,S_NFI_3,586465,21_1774_A_1_26_25,Pinus,pinea,9.2,25.15,-7.10321327897897,37.3549691959399
0,S_NFI_3,586566,21_1783_A_1_12_7,Pinus,pinea,9.4,26.35,-7.12623598221771,37.3373676813882
1,S_NFI_3,586686,21_1798_A_1_11_8,Pinus,pinea,22.6,87.2,-6.76032265193898,37.493076688797
1,S_NFI_3,586678,21_1798_A_1_3_2,Pinus,pinea,18,57.1,-6.76020281632769,37.4931826866895
1,S_NFI_3,586709,21_1800_A_1_4_4,Pinus,pinea,20.5,66.2,-6.71514759854709,37.4920369564392
0,S_NFI_3,586886,21_1831_A_1_2_2,Pinus,pinea,9.4,25.4,-6.76108678012738,37.4661404223112
0,S_NFI_3,587732,21_2004_A_4_8_8,Pinus,pinea,9.3,25.3,-7.08314699456262,37.2553426217646
0,S_NFI_3,587736,21_2004_A_4_12_12,Pinus,pinea,9.6,25.8,-7.08323937100692,37.2554535281184
0,S_NFI_3,587915,21_2028_A_1_1_1,Pinus,pinea,9.6,25.8,-6.91499997106617,37.2166399167422
0,S_NFI_3,588226,21_2088_A_1_1_1,Pinus,pinea,9.1,26.5,-6.82419825207208,37.2420566380527
1,S_NFI_3,588659,21_2133_A_1_9_9,Pinus,pinea,18.7,63.7,-6.57767161195951,37.2012235935603
0,S_NFI_3,588711,21_2138_A_1_2_2,Pinus,pinea,9.3,26.7,-6.814144636441,37.1967438951249
1,S_NFI_3,588897,21_2184_A_1_3_3,Pinus,pinea,23,57.3,-6.40479412719524,37.3056124923296
